participant_id,personality_cluster
1005,Cluster_D
197,Cluster_C
2343,Cluster_E
1709,Cluster_C
436,Cluster_E
322,Cluster_A
1473,Cluster_E
1704,Cluster_B
901,Cluster_A
1058,Cluster_D
2214,Cluster_B
576,Cluster_E
1164,Cluster_A
2315,Cluster_B
612,Cluster_A
433,Cluster_E
1736,Cluster_E
1135,Cluster_E
1992,Cluster_B
651,Cluster_A
2103,Cluster_D
1564,Cluster_D
2027,Cluster_A
135,Cluster_A
2154,Cluster_D
1360,Cluster_E
941,Cluster_A
1558,Cluster_C
977,Cluster_C
1193,Cluster_E
1138,Cluster_A
446,Cluster_E
343,Cluster_B
260,Cluster_C
1761,Cluster_E
1654,Cluster_A
354,Cluster_A
2278,Cluster_C
566,Cluster_A
1897,Cluster_E
2378,Cluster_A
1114,Cluster_C
255,Cluster_E
431,Cluster_C
799,Cluster_E
1162,Cluster_A
1661,Cluster_A
472,Cluster_E
2292,Cluster_D
1104,Cluster_A
916,Cluster_A
230,Cluster_B
1643,Cluster_E
57,Cluster_D
2224,Cluster_E
966,Cluster_A
2312,Cluster_C
2359,Cluster_A
529,Cluster_D
2108,Cluster_A
2181,Cluster_D
1106,Cluster_A
2166,Cluster_D
1250,Cluster_E
1579,Cluster_D
2030,Cluster_D
2268,Cluster_A
686,Cluster_B
1776,Cluster_D
180,Cluster_C
112,Cluster_B
1743,Cluster_E
2012,Cluster_A
556,Cluster_C
1299,Cluster_E
1515,Cluster_C
1037,Cluster_D
1945,Cluster_D
1227,Cluster_E
637,Cluster_A
1450,Cluster_B
2178,Cluster_B
1217,Cluster_D
1232,Cluster_E
931,Cluster_E
801,Cluster_E
45,Cluster_A
101,Cluster_E
2288,Cluster_E
240,Cluster_D
427,Cluster_B
1212,Cluster_C
465,Cluster_D
1827,Cluster_E
2256,Cluster_E
523,Cluster_E
582,Cluster_C
1006,Cluster_E
1428,Cluster_E
283,Cluster_E
630,Cluster_E
1911,Cluster_C
496,Cluster_D
2368,Cluster_D
1806,Cluster_D
603,Cluster_C
174,Cluster_D
1494,Cluster_E
1291,Cluster_E
1976,Cluster_E
1791,Cluster_E
1605,Cluster_C
2184,Cluster_A
1660,Cluster_E
1442,Cluster_E
2056,Cluster_E
2100,Cluster_C
2197,Cluster_C
189,Cluster_E
1387,Cluster_E
1431,Cluster_E
1658,Cluster_B
1024,Cluster_B
2088,Cluster_D
1750,Cluster_B
975,Cluster_E
481,Cluster_B
1415,Cluster_E
757,Cluster_A
2142,Cluster_C
614,Cluster_E
2029,Cluster_A
1771,Cluster_C
1607,Cluster_E
786,Cluster_E
439,Cluster_E
728,Cluster_D
1339,Cluster_E
1128,Cluster_E
618,Cluster_E
1288,Cluster_B
679,Cluster_E
1693,Cluster_A
1770,Cluster_E
1371,Cluster_A
1224,Cluster_D
1365,Cluster_E
483,Cluster_D
2225,Cluster_C
219,Cluster_E
1506,Cluster_A
508,Cluster_E
2014,Cluster_C
2122,Cluster_E
783,Cluster_D
355,Cluster_E
1676,Cluster_D
1019,Cluster_E
811,Cluster_E
2287,Cluster_E
1454,Cluster_E
30,Cluster_E
1030,Cluster_D
1383,Cluster_E
200,Cluster_E
1088,Cluster_E
1799,Cluster_E
917,Cluster_E
1656,Cluster_D
2388,Cluster_C
2114,Cluster_E
1317,Cluster_B
2223,Cluster_B
212,Cluster_E
1552,Cluster_E
2156,Cluster_A
1835,Cluster_C
238,Cluster_D
868,Cluster_A
1182,Cluster_D
1950,Cluster_C
1777,Cluster_E
2171,Cluster_E
1510,Cluster_A
2365,Cluster_A
464,Cluster_D
70,Cluster_B
2219,Cluster_E
611,Cluster_E
1057,Cluster_C
368,Cluster_E
1509,Cluster_D
248,Cluster_E
97,Cluster_D
280,Cluster_E
1742,Cluster_E
809,Cluster_A
1200,Cluster_E
211,Cluster_B
1829,Cluster_C
882,Cluster_E
2109,Cluster_C
2371,Cluster_E
2334,Cluster_C
597,Cluster_B
1849,Cluster_A
1267,Cluster_E
253,Cluster_A
1477,Cluster_A
652,Cluster_C
1671,Cluster_A
1467,Cluster_E
545,Cluster_A
333,Cluster_C
1918,Cluster_A
509,Cluster_E
480,Cluster_C
297,Cluster_A
1974,Cluster_C
1935,Cluster_D
583,Cluster_E
1361,Cluster_A
2128,Cluster_C
1966,Cluster_E
633,Cluster_E
1971,Cluster_E
1286,Cluster_A
565,Cluster_C
1434,Cluster_A
1246,Cluster_D
743,Cluster_A
1115,Cluster_D
150,Cluster_C
209,Cluster_E
1642,Cluster_A
2093,Cluster_B
1718,Cluster_E
2258,Cluster_E
1196,Cluster_D
720,Cluster_E
510,Cluster_A
2176,Cluster_D
415,Cluster_E
1622,Cluster_D
1838,Cluster_E
1221,Cluster_E
252,Cluster_A
2129,Cluster_D
1657,Cluster_E
408,Cluster_C
351,Cluster_D
1386,Cluster_B
1792,Cluster_C
671,Cluster_E
531,Cluster_A
600,Cluster_B
742,Cluster_E
50,Cluster_C
68,Cluster_E
1559,Cluster_A
49,Cluster_D
2186,Cluster_E
2134,Cluster_A
2232,Cluster_E
1808,Cluster_E
125,Cluster_A
2201,Cluster_C
1941,Cluster_E
830,Cluster_D
1134,Cluster_D
943,Cluster_D
2177,Cluster_B
982,Cluster_D
1830,Cluster_E
1449,Cluster_E
1413,Cluster_C
1857,Cluster_E
730,Cluster_D
880,Cluster_E
2096,Cluster_B
241,Cluster_A
71,Cluster_C
756,Cluster_E
933,Cluster_A
74,Cluster_A
462,Cluster_E
2213,Cluster_A
1834,Cluster_E
2307,Cluster_E
638,Cluster_E
528,Cluster_B
928,Cluster_B
158,Cluster_D
606,Cluster_E
1862,Cluster_C
1805,Cluster_A
423,Cluster_D
1831,Cluster_E
2053,Cluster_E
409,Cluster_C
1069,Cluster_C
52,Cluster_A
403,Cluster_E
1045,Cluster_A
2293,Cluster_C
1445,Cluster_A
2227,Cluster_E
1264,Cluster_B
1749,Cluster_E
292,Cluster_D
1551,Cluster_E
835,Cluster_E
856,Cluster_E
2300,Cluster_E
1837,Cluster_E
533,Cluster_D
388,Cluster_B
1562,Cluster_D
2044,Cluster_B
1310,Cluster_D
300,Cluster_A
1784,Cluster_E
417,Cluster_A
487,Cluster_A
441,Cluster_B
655,Cluster_A
2274,Cluster_E
221,Cluster_E
1085,Cluster_D
650,Cluster_E
622,Cluster_D
1877,Cluster_B
85,Cluster_C
862,Cluster_A
1872,Cluster_A
1430,Cluster_A
110,Cluster_A
1968,Cluster_D
760,Cluster_E
291,Cluster_B
945,Cluster_E
2148,Cluster_E
2376,Cluster_E
1015,Cluster_A
2036,Cluster_D
1926,Cluster_D
1256,Cluster_A
2317,Cluster_A
2067,Cluster_E
213,Cluster_A
673,Cluster_A
1322,Cluster_D
1125,Cluster_E
411,Cluster_D
2384,Cluster_A
1038,Cluster_D
2101,Cluster_D
1421,Cluster_E
19,Cluster_E
362,Cluster_C
1584,Cluster_C
631,Cluster_A
994,Cluster_D
2361,Cluster_E
1333,Cluster_C
77,Cluster_D
1732,Cluster_A
479,Cluster_D
2358,Cluster_E
1312,Cluster_D
857,Cluster_E
169,Cluster_C
444,Cluster_B
1358,Cluster_C
1222,Cluster_C
1412,Cluster_E
220,Cluster_E
2212,Cluster_D
2339,Cluster_A
1357,Cluster_E
304,Cluster_E
1566,Cluster_D
932,Cluster_D
2155,Cluster_C
1180,Cluster_B
451,Cluster_E
810,Cluster_A
2065,Cluster_E
1751,Cluster_C
1174,Cluster_E
1873,Cluster_D
369,Cluster_E
232,Cluster_E
1993,Cluster_D
136,Cluster_C
26,Cluster_D
2230,Cluster_C
1152,Cluster_A
893,Cluster_A
1933,Cluster_A
1745,Cluster_D
193,Cluster_C
290,Cluster_C
473,Cluster_A
619,Cluster_D
1363,Cluster_A
1722,Cluster_E
2144,Cluster_A
1068,Cluster_D
1481,Cluster_C
129,Cluster_A
2002,Cluster_C
1511,Cluster_E
766,Cluster_A
914,Cluster_C
234,Cluster_E
1331,Cluster_E
308,Cluster_B
1323,Cluster_B
434,Cluster_D
384,Cluster_E
1147,Cluster_E
938,Cluster_A
2216,Cluster_E
1341,Cluster_D
178,Cluster_D
1574,Cluster_E
599,Cluster_C
1086,Cluster_A
185,Cluster_D
1290,Cluster_B
1233,Cluster_E
1801,Cluster_E
1565,Cluster_C
299,Cluster_A
1698,Cluster_D
808,Cluster_E
1362,Cluster_A
2126,Cluster_D
486,Cluster_D
1190,Cluster_E
1919,Cluster_A
179,Cluster_A
1035,Cluster_A
325,Cluster_A
1208,Cluster_D
950,Cluster_E
1337,Cluster_D
2041,Cluster_E
119,Cluster_E
1139,Cluster_C
1136,Cluster_E
282,Cluster_B
2207,Cluster_C
2046,Cluster_B
2211,Cluster_E
1730,Cluster_D
1884,Cluster_D
1117,Cluster_E
1403,Cluster_C
1191,Cluster_D
1721,Cluster_E
1534,Cluster_E
1384,Cluster_D
367,Cluster_E
1815,Cluster_E
1899,Cluster_E
44,Cluster_D
1883,Cluster_B
1889,Cluster_C
1271,Cluster_E
204,Cluster_E
175,Cluster_A
421,Cluster_E
987,Cluster_D
121,Cluster_A
284,Cluster_A
1741,Cluster_C
